grass,deer,lion
221,298,4
174,306,4
173,314,4
194,322,4
204,332,4
226,344,4
230,359,4
254,359,9
259,370,9
275,379,9
294,351,9
280,338,9
289,341,8
297,337,8
313,335,8
327,339,8
347,330,13
368,331,14
372,331,14
371,335,16
372,327,15
381,327,15
413,301,22
444,211,64
437,210,70
450,207,76
461,209,77
461,216,79
460,221,80
479,211,85
484,200,90
522,195,91
563,183,97
578,191,98
562,196,93
528,208,95
546,214,95
564,221,97
570,210,107
552,211,104
569,213,100
584,207,106
535,212,113
545,189,109
574,176,119
610,181,114
635,191,110
665,165,119
672,157,119
675,152,118
646,166,111
628,182,111
630,193,108
659,198,105
664,207,103
689,214,97
693,219,93
691,234,86
696,249,78
726,248,69
741,241,68
718,245,62
684,255,55
619,272,46
586,276,38
541,295,37
501,302,37
457,299,28
452,299,27
434,316,21
456,312,25
458,318,27
433,334,26
428,333,25
439,338,24
384,348,26
348,354,26
368,344,26
374,331,26
358,330,27
358,322,25
373,320,23
387,325,21
409,317,21
411,236,57
410,239,56
419,247,56
416,255,57
419,254,59
442,256,59
469,260,56
465,259,64
478,269,64
494,275,64
533,264,65
568,265,62
566,267,61
519,284,60
500,291,59
492,289,53
492,294,53
476,293,52
470,287,51
520,281,52
561,272,32
578,272,33
588,269,37
605,267,36
584,258,42
553,271,44
523,284,44
489,241,62
510,210,73
536,209,75
556,211,77
530,230,76
506,244,76
521,248,76
532,252,76
547,233,77
531,210,88
484,218,87
490,227,83
552,232,80
610,224,81
667,205,85
719,199,82
737,174,92
762,169,94
764,131,113
731,150,111
715,165,108
720,176,89
755,185,87
804,192,80
872,192,81
933,171,89
984,132,106
1054,137,106
1109,104,115
1097,74,126
1073,57,138
1132,61,138
1197,60,137
1269,60,132
1336,63,127
1383,72,126
1380,87,125
1370,95,126
1340,117,99
1348,114,106
1287,135,106
1247,155,98
1203,170,98
1185,132,125
1086,155,123
968,187,112
802,229,100
720,259,96
659,276,90
599,265,91
573,276,80
590,285,77
635,292,77
669,296,73
694,303,71
704,315,69
707,314,65
706,314,59
705,289,71
668,272,77
659,284,74
662,286,68
691,278,69
700,256,60
711,244,69
695,255,69
731,253,69
767,222,84
829,208,86
873,192,84
867,185,86
856,194,84
829,205,84
771,209,87
678,224,88
606,243,89
585,247,89
578,261,88
581,269,84
571,277,78
576,278,80
555,288,81
591,287,76
633,285,72
649,213,96
624,222,95
606,228,93
641,222,87
657,196,96
